open,close,high,low,vol,amount,date,code,volume
136.25,144.9,147.36,136.21,36516.0,525124608.0,2026-03-27,688018,36516.0
142.28,143.8,145.28,141.6,21630.0,310199296.0,2026-03-30,688018,21630.0
143.15,146.96,152.32,143.15,37356.0,555826496.0,2026-03-31,688018,37356.0
149.47,146.75,150.27,146.0,25585.0,376829728.0,2026-04-01,688018,25585.0
146.12,142.29,146.5,141.04,19706.0,282772576.0,2026-04-02,688018,19706.0
142.4,141.03,143.92,140.4,15089.0,214623424.0,2026-04-03,688018,15089.0
141.31,141.83,143.67,141.0,14172.0,202054432.0,2026-04-07,688018,14172.0
146.68,151.0,151.0,145.0,38164.0,568377728.0,2026-04-08,688018,38164.0
147.8,146.89,149.99,146.6,22814.0,337901792.0,2026-04-09,688018,22814.0
151.36,148.8,155.6,148.71,34390.0,522014784.0,2026-04-10,688018,34390.0
146.5,148.34,150.6,146.46,20426.0,304230144.0,2026-04-13,688018,20426.0
150.36,153.1,155.99,150.06,35991.0,550078592.0,2026-04-14,688018,35991.0
154.53,151.1,154.78,150.49,26359.0,401972768.0,2026-04-15,688018,26359.0
151.58,152.0,152.8,150.08,22194.0,336407360.0,2026-04-16,688018,22194.0
152.41,152.7,154.33,151.0,24883.0,379542752.0,2026-04-17,688018,24883.0
155.22,171.0,172.0,154.1,97879.0,1603221760.0,2026-04-20,688018,97879.0
166.18,167.8,169.28,160.66,73109.0,1197671424.0,2026-04-21,688018,73109.0
166.5,169.38,170.99,165.56,46379.0,783695104.0,2026-04-22,688018,46379.0
167.77,165.0,169.4,163.2,45114.0,750596032.0,2026-04-23,688018,45114.0
165.96,173.58,174.8,165.0,79975.0,1374423296.0,2026-04-24,688018,79975.0
172.0,176.25,178.88,170.0,74808.0,1300089472.0,2026-04-27,688018,74808.0
173.98,167.01,174.97,166.02,55922.0,951487040.0,2026-04-28,688018,55922.0
167.0,168.58,169.73,163.96,40946.0,685603072.0,2026-04-29,688018,40946.0
168.0,172.12,174.74,166.5,49507.0,849393152.0,2026-04-30,688018,49507.0
173.5,174.8,178.95,173.4,68576.0,1205917184.0,2026-05-06,688018,68576.0
174.71,179.49,180.38,172.4,69980.0,1235818880.0,2026-05-07,688018,69980.0
176.09,174.78,178.8,173.1,47742.0,837539840.0,2026-05-08,688018,47742.0
177.6,176.68,179.48,175.14,55395.0,981194880.0,2026-05-11,688018,55395.0
176.04,173.93,177.5,172.0,41504.0,725057408.0,2026-05-12,688018,41504.0
172.0,179.73,183.83,168.19,74359.0,1309464192.0,2026-05-13,688018,74359.0
